机构名称,机构编号,机构类型,服务形式,区托育服务管理机构,机构负责人,机构联系电话,举办者,地址,供餐情况,收费情况[元/月]
上海宝山保霖托育有限公司,1132100001600000,营利性托育机构,全日制,宝山区托育服务指导中心,阚惠萍,021-66013783,陈宇；周飞林；张波,上海市宝山区友谊路街道友谊路1899弄41号、43号2楼、45号、47号,不自行加工膳食，但提供供餐服务,5500.0
上海宝山槟果托育有限公司 ,1132100001000000,营利性托育机构,全日制,宝山区托育服务指导中心,李怀亲,021-66016125,朱峰伟；刘丽霞,上海市宝山区大场镇华秋路58弄62号、66号,不自行加工膳食，但提供供餐服务,5000.0
上海宝山固瑞特托育有限公司,1132111001900000,营利性托育机构,全日制,宝山区托育服务指导中心,王秀,021-60297219,谭通；李艳霞,上海市宝山区友谊路街道宝山区盘古路388弄1号,不自行加工膳食，但提供供餐服务,8000.0
上海宝山顾培托育有限公司,1132111000400000,营利性托育机构,全日制,宝山区托育服务指导中心,梁君霞,021-66781615,蔡逸珏；樊俊杰；吉翔,上海市宝山区顾村镇顾北路548号、546号、568号1-202、1-203,不自行加工膳食，但提供供餐服务,3000.0
上海宝山吉源托育有限公司,1132111001100000,营利性托育机构,全日制,宝山区托育服务指导中心,李凤英,56865366,张薛,上海市宝山区罗店镇罗芬路1288弄1252号—5、6、7,不自行加工膳食，但提供供餐服务,5000.0
上海宝山杰克宝托育有限责任公司,1132100000300000,营利性托育机构,全日制,宝山区托育服务指导中心,侯俊丽,13681761519,上海如坤投资管理有限公司,上海市宝山区罗店镇美兰湖路8弄8073号,不自行加工膳食，但提供供餐服务,7500.0
上海宝山乐鸾托育有限公司,1132100001800000,营利性托育机构,全日制,宝山区托育服务指导中心,马小梅,56126066,上海小龙鱼教育发展有限公司,上海市宝山区友谊路街道牡丹江路1248号楼101、102、106单元,不自行加工膳食，但提供供餐服务,8000.0
上海宝山连众托育有限公司,1132111001200000,营利性托育机构,全日制,宝山区托育服务指导中心,蔡霞芳,56581816,叶顺，沈翀,上海市宝山区友谊路街道上海市宝山区海江路19号,不自行加工膳食，但提供供餐服务,6500.0
上海宝山培菲特托育有限公司,1132100000500000,营利性托育机构,全日制,宝山区托育服务指导中心,李琦,56333252,王顺妹；潘大明；潘武,上海市宝山区大场镇沪太路2751号4幢,不自行加工膳食，但提供供餐服务,7500.0
上海宝山启鹗宝托育有限公司,1132111001700000,营利性托育机构,全日制,宝山区托育服务指导中心,魏杏芳,13681632103,李明昇；邱文彬；夏菁菁,上海市宝山区庙行镇上海市宝山区场北路704号一楼112室,不自行加工膳食，但提供供餐服务,10000.0
上海宝山乾谦托育有限公司,1132111002200000,营利性托育机构,全日制,宝山区托育服务指导中心,杨月霞,021-56776013,周业；高迪,上海市宝山区庙行镇上海市宝山区纪蕴路320弄9号,不自行加工膳食，但提供供餐服务,8600.0
上海宝山区柯贝米托育园,1131100000900000,非营利性托育机构,全日制,宝山区托育服务指导中心,周永红,17321072198,袁文连     孟凌云     孟祥跃,上海市宝山区大场镇城银路555弄7号2栋102室,不自行加工膳食，但提供供餐服务,3000.0
上海宝山区优品托育园,1131111001400000,非营利性托育机构,全日制,宝山区托育服务指导中心,罗华平,021-36100087,王佩桦,上海市宝山区大场镇锦秋路699弄8区101号,自行加工膳食,6800.0
上海宝山芮媛托育有限责任公司,1132111001500000,营利性托育机构,全日制,宝山区托育服务指导中心,汪绿绮,13917773133,孙娅,上海市宝山区大场镇真大路361号101,不自行加工膳食，但提供供餐服务,10000.0
上海宝山恬悠吉玛托育有限责任公司,1132100000600000,营利性托育机构,全日制,宝山区托育服务指导中心,王莉,13391157596,米亚赛,上海市宝山区杨行镇莲花山路700弄18号101,不自行加工膳食，但提供供餐服务,3000.0
上海宝山妤姈托育有限公司,1132100001300000,营利性托育机构,全日制,宝山区托育服务指导中心,吴莺燕,66795818,钱永琴，季忠康，宋海萍，瞿亚萍，韩龙娟,上海市宝山区杨行镇上海是宝山区杨鑫路226.，228，230号,不自行加工膳食，但提供供餐服务,8000.0
上海宝山育蕾洋洋托育有限公司,1132111000700000,营利性托育机构,全日制,宝山区托育服务指导中心,杨玉芬,66787185,杨玉芬，上海育蕾教育培训有限公司,上海市宝山区杨行镇水产路2600弄88号106室、205室,自行加工膳食,6000.0
上海宝山媛霖托育有限公司,1132100000800000,营利性托育机构,全日制,宝山区托育服务指导中心,曹春玲,021-66013783,陈宇、汪燕凌,上海市宝山区大场镇华秋路58弄43-46号,不自行加工膳食，但提供供餐服务,5500.0
上海宝山智慧欧莱托育有限公司,1132100000200000,营利性托育机构,全日制,宝山区托育服务指导中心,朱玮,66222376,上海鸥翼教育科技有限公司,上海市宝山区顾村镇蕴川路6号33幢楼,不自行加工膳食，但提供供餐服务,5300.0
上海宝山卓童托育有限公司,1132111002100000,营利性托育机构,全日制,宝山区托育服务指导中心,李京媛,13311988127,胡越;杨立波,上海市宝山区杨行镇上海市宝山区盘古路727号5幢103室,不自行加工膳食，但提供供餐服务,5800.0
上海长宁灿童托育有限责任公司,1052001900000000,营利性托育机构,全日制,长宁区托育服务指导中心,郑巧玲,52958502,上海卡通派数码科技发展有限公司；刘红,上海市长宁区天山路街道天山支路201号一层南区1008、1009室，M层M03、M07,自行加工膳食,8800.0
上海长宁橄榄树托育有限责任公司,1052100000800000,营利性托育机构,全日制,长宁区托育服务指导中心,孙晓黎,62660652,孙晓黎,上海市长宁区新泾镇威宁路509号一层,自行加工膳食,7200.0
上海长宁观化启蒙园托育有限公司,1052100001000000,营利性托育机构,全日制,长宁区托育服务指导中心,方伟英,021-62688069,朱辉,上海市长宁区江苏路街道愚园路749弄23号,自行加工膳食,12000.0
上海长宁及幼托育有限公司,1052111001700000,营利性托育机构,全日制,长宁区托育服务指导中心,周娅,133 9107 8803,赤子（上海）企业管理有限公司；上海彩轮企业管理合伙企业（有限合伙）；倪妹,上海市长宁区虹桥街道中山西路1410弄25号,自行加工膳食,15000.0
上海长宁佳禾托育有限公司,1052111002000000,营利性托育机构,全日制,长宁区托育服务指导中心,邓章莹,15823030068,段明洪,上海市长宁区虹桥街道上海长宁区虹桥路961弄甲1幢甲2幢,自行加工膳食,16000.0
上海长宁美聿托育有限公司,1052111002100000,营利性托育机构,全日制,长宁区托育服务指导中心,严任颖,+86 21 62310685,上海和聿教育科技有限公司,上海市长宁区江苏路街道武夷路95弄19号全幢,自行加工膳食,12000.0
上海长宁萌育托育有限公司,1052100001500000,营利性托育机构,全日制,长宁区托育服务指导中心,胡金芳,021-60319010,缪卓尔,上海市长宁区虹桥街道中山西路1061号1层、2层、3层,自行加工膳食,14000.0
上海长宁米乐邦托育有限公司,1052100000600000,营利性托育机构,全日制,长宁区托育服务指导中心,张岚,62680370,陈岑；肖剑香,上海市长宁区虹桥街道黄金城道555弄5号102室,自行加工膳食,12000.0
上海长宁铭诗托育有限公司,1052111000200000,营利性托育机构,全日制,长宁区托育服务指导中心,徐燕萍,021-62196831,上海铭诗教育科技有限公司,上海市长宁区北新泾街道天山路181号底层跃二层,自行加工膳食,8800.0
上海长宁沛琳托育有限公司,1052111001600000,营利性托育机构,全日制,长宁区托育服务指导中心,陈晓健,52798791,刘玉蓉；刘建勇；严磊；朱向东,上海市长宁区新泾镇北渔路50号52号,自行加工膳食,12000.0
上海长宁森之堡托育有限公司,1052100001100000,营利性托育机构,全日制,长宁区托育服务指导中心,宋鑫懿,18049912620,上海爻萃企业管理咨询有限公司,"上海市长宁区虹桥街道黄金城道776号1, 2楼",自行加工膳食,11500.0
上海长宁舒克托育有限责任公司,1052111001400000,营利性托育机构,全日制,长宁区托育服务指导中心,姜婷,13311662644,殳刚,上海市长宁区北新泾街道临虹路365号北3座102,自行加工膳食,8800.0
上海长宁泰尼汉托育有限公司,1052111000700000,营利性托育机构,全日制,长宁区托育服务指导中心,李翌啸,021-52720233,朱恩辰,上海市长宁区周家桥街道长宁路1946号,自行加工膳食,9000.0
上海长宁瑭蕊托育有限公司,1052111001200000,营利性托育机构,全日制,长宁区托育服务指导中心,陈昌明,021-52690083,上海长宁瑭蕊托育有限公司,上海市长宁区程家桥街道上海市长宁区哈密路1997号,自行加工膳食,16800.0
上海长宁辛格儿托育有限公司,1052111000400000,营利性托育机构,全日制,长宁区托育服务指导中心,沈美萍,18621866602,上海长宁辛格儿托育有限公司,上海市长宁区新泾镇福泉北路88号2幢106室,自行加工膳食,8000.0
上海长宁弋聪托育有限公司,1052111000900000,营利性托育机构,全日制,长宁区托育服务指导中心,常春,60327766,叶弋,上海市长宁区天山路街道遵义路101号5幢,自行加工膳食,13800.0
上海长宁悦宝园托育有限公司,1052111000300000,营利性托育机构,全日制,长宁区托育服务指导中心,朱春惠,15802183339,明月,上海市长宁区虹桥街道上海市长宁区红宝石路533号139，150，151，152，153,自行加工膳食,7000.0
上海崇明启稚托育有限公司,1512111000100000,营利性托育机构,全日制,崇明区托育服务指导中心,沈丽霞,18917377365,沈丽霞,上海市崇明区长兴镇上海市崇明区长兴镇金淼路759弄136号101室,自行加工膳食,5000.0
上海奉贤区金海之星托育园,1201111000200000,非营利性托育机构,全日制,奉贤区托育服务指导中心,何亚萍,13917888648,叶仁龙；何亚萍,上海市奉贤区金海社区嘉园路361弄18号,自行加工膳食,3000.0
上海奉贤区金尊贝尔托育园,1201100000100000,非营利性托育机构,全日制,奉贤区托育服务指导中心,陈惠红,37511188,上海奉贤区金尊贝尔教育培训中心,上海市奉贤区金海社区上海市奉贤区南桥新城望园南路2288弄27-29号、泽丰路317号,不自行加工膳食，但提供供餐服务,2880.0
上海虹口乐圭托育有限公司,1092100000500000,营利性托育机构,全日制,虹口区托育服务指导中心,葛毅群,55826077,上海小龙鱼教育发展有限公司,上海市虹口区嘉兴路街道通州路188号一层-1,自行加工膳食,10000.0
上海虹口利特蜜托育有限公司,1092100001000000,营利性托育机构,全日制,虹口区托育服务指导中心,王晓平,55381128,孙宗蓓，杜燕洁,上海市虹口区嘉兴路街道虹口区周家嘴路981弄6号102室二层,自行加工膳食,5000.0
上海虹口美格瑞思托育有限责任公司,1092111000600000,营利性托育机构,全日制,虹口区托育服务指导中心,姚芳,65025335,曹琍萍,上海市虹口区广中路街道新市路86号1 层,自行加工膳食,6500.0
上海虹口派思贝贝托育有限公司,1092111001100000,营利性托育机构,全日制,虹口区托育服务指导中心,徐秋蓉,65061506,肖瑶；陆云飞,上海市虹口区曲阳路街道中山北一路1230号1幢A102-2室,不提供膳食,8800.0
上海虹口区尚佑托育园,1091100000100000,非营利性托育机构,全日制,虹口区托育服务指导中心,夏国琴,55039977,上海万江教育投资管理有限公司,上海市虹口区北外滩街道惠民路220弄1-2号底层,自行加工膳食,3000.0
上海虹口区同心托育园,1091100000300000,非营利性托育机构,全日制,虹口区托育服务指导中心,潘莹,56436298,王志荣；吴华敏,上海市虹口区广中路街道同心路1037-1039,自行加工膳食,3000.0
上海虹口善思客托育有限责任公司,1092100000800000,营利性托育机构,全日制,虹口区托育服务指导中心,刘秋霞,021-65152027,刘秋霞；张涛；,上海市虹口区嘉兴路街道保定路625号1_2层,不自行加工膳食，但提供供餐服务,8500.0
上海虹口小牙托育有限公司,1092111000400000,营利性托育机构,全日制,虹口区托育服务指导中心,吴蓓,021-80158515,上海小牙教育科技有限公司,上海市虹口区北外滩街道西安路61号1-2层,不自行加工膳食，但提供供餐服务,9800.0
上海虹口屹橙托育有限公司,1092111000900000,营利性托育机构,全日制,虹口区托育服务指导中心,朱静,02161426785,包藏，黄亦一,上海市虹口区曲阳路街道曲阳路900弄5-6号,自行加工膳食,8000.0
上海虹口芸沁托育有限公司,1092100000700000,营利性托育机构,全日制,虹口区托育服务指导中心,金晔,021-65556772,周莉,上海市虹口区嘉兴路街道通州路428号一楼B室,自行加工膳食,9960.0
上海虹口臻悦托育有限公司,1092100000200000,营利性托育机构,全日制,虹口区托育服务指导中心,茹怡,13917481940,上海佳彦教育科技有限公司,上海市虹口区广中路街道上海市虹口区北宝兴路355号2幢127室,不自行加工膳食，但提供供餐服务,6800.0
上海黄浦俊星托育有限公司,1012100000100000,营利性托育机构,全日制,黄浦区托育服务指导中心,高菲,021-80198157,上海俊星国际教育投资管理股份有限公司,上海市黄浦区五里桥街道龙华东路647号1楼05-07单元,不自行加工膳食，但提供供餐服务,12800.0
上海黄浦乐烁托育有限公司,1012111000800000,营利性托育机构,全日制,黄浦区托育服务指导中心,何丽蓉,02163085551,上海小龙鱼教育发展有限公司,上海市黄浦区半淞园路街道上海市黄浦区中山南路1280号1201、1202部位，中山南路1288弄1、2号，中山南路1282号、1286号,不自行加工膳食，但提供供餐服务,10000.0
上海黄浦龄乐托育有限公司,1012111001200000,营利性托育机构,全日制,黄浦区托育服务指导中心,沈洁,13162020484,上海贤龄商务咨询有限公司；邱琦。,上海市黄浦区豫园街道柳泉弄1号1层A座,不自行加工膳食，但提供供餐服务,18000.0
上海黄浦杞果托育有限公司,1012111000700000,营利性托育机构,全日制,黄浦区托育服务指导中心,聂辉,"63900007,63900070",上海灵童教育科技有限公司,上海市黄浦区淮海中路街道合肥路221号底层,不自行加工膳食，但提供供餐服务,13000.0
上海黄浦区小东门社区华爱托育园,1011100000600000,非营利性托育机构,全日制,黄浦区托育服务指导中心,柯燕子,63777566 63771920,上海基督教女青年会,上海市黄浦区小东门街道上海黄浦区中华路707号底层1楼,不自行加工膳食，但提供供餐服务,3000.0
上海黄浦区小橡树托育园,1011001000900000,非营利性托育机构,全日制,黄浦区托育服务指导中心,王昀,18817595009,张尧，王慧,上海市黄浦区半淞园路街道海潮路133号A1068,不提供膳食,4680.0
上海黄浦橡创托育有限公司,1012010000400000,营利性托育机构,全日制,黄浦区托育服务指导中心,马丽萍,13818288940,上海长宁橡缤教育科技有限公司,上海市黄浦区豫园街道东青莲街121号１层,不自行加工膳食，但提供供餐服务,8000.0
上海黄浦辛辛宝托育有限公司,1012111001000000,营利性托育机构,全日制,黄浦区托育服务指导中心,闻梅芬,18117039869,王薇芸,上海市黄浦区打浦桥街道上海市黄浦区徐家汇路368号101-1,不自行加工膳食，但提供供餐服务,13800.0
上海黄浦紫綦托育有限公司,1012111001100000,营利性托育机构,全日制,黄浦区托育服务指导中心,余燕,021-63010836,张跃,上海市黄浦区小东门街道黄浦区紫霞路115-117号1层,不自行加工膳食，但提供供餐服务,8800.0
上海嘉定好才托育有限公司,1142111000700000,营利性托育机构,全日制,嘉定区托育服务指导中心,李春芳,13003153206,上海好才企业管理服务有限公司,上海市嘉定区马陆镇宝塔路166弄2-5号,自行加工膳食,6800.0
上海嘉定禾恩托育有限公司,1142100000400000,营利性托育机构,全日制,嘉定区托育服务指导中心,李素娜,17317737448,王伟；徐旻辰；李素娜,上海市嘉定区南翔镇芳林路333弄48号49号50号51号一层,自行加工膳食,6500.0
上海嘉定萌萌鹿托育有限公司,1142100000200000,营利性托育机构,全日制,嘉定区托育服务指导中心,濮海红,021-59549556,王钊,上海市嘉定区南翔镇宝翔路158弄104、105、106、107、108室,自行加工膳食,6500.0
上海嘉定区呦呦托育园,1141111000500000,非营利性托育机构,全日制,嘉定区托育服务指导中心,吴庆,59961618,龙如银  孙自立,上海市嘉定区安亭镇进明渡路452号-460号,自行加工膳食,3000.0
上海嘉定瑞芽托育有限公司,1142111000900000,营利性托育机构,全日制,嘉定区托育服务指导中心,姚旭华,13916489413,上海慈卫文化发展有限公司,上海市嘉定区徐行镇胜竹东路3890弄2号101/105/106/107/108/109/110/111室,自行加工膳食,6500.0
上海金山德楷托育有限公司,1162100000400000,营利性托育机构,全日制,金山区托育服务指导中心,沈仁贤,33696009,孔祥婷、濮庆华、陆秋华,上海市金山区山阳镇中央大道271号二、三层、273号,不自行加工膳食，但提供供餐服务,13000.0
上海金山墨喆托育有限公司,1162100000100000,营利性托育机构,全日制,金山区托育服务指导中心,徐辉,021-67322818,陆游,上海市金山区朱泾镇万安街103弄3号,不自行加工膳食，但提供供餐服务,3500.0
上海金山区金幼托育园,1161111000300000,非营利性托育机构,全日制,金山区托育服务指导中心,刘冉冉,021-57932001,上海杨浦爱曦幼托育有限公司,上海市金山区石化街道石化三村317号,自行加工膳食,3000.0
上海金山区鑫精灵托育园,1161100000200000,非营利性托育机构,全日制,金山区托育服务指导中心,朱宏,021-57271162,上海金山区民办金工幼儿园,上海市金山区金山工业区高林路81号,不自行加工膳食，但提供供餐服务,1800.0
上海静安邦禾托育有限责任公司,1062111001700000,营利性托育机构,全日制,静安区托育服务指导中心,熊喆珏,17717305015,上海知禾信息科技有限公司,上海市静安区大宁路街道汶水路40号13幢1层1204-1208室,自行加工膳食,12000.0
上海静安宝囡托育有限公司,1062111000400000,营利性托育机构,全日制,静安区托育服务指导中心,沈美萍,021-61800823,张颖,上海市静安区彭浦镇上海市灵石路658、660、662、664号108室,不自行加工膳食，但提供供餐服务,8000.0
上海静安辅智托育有限公司,1062100001600000,营利性托育机构,全日制,静安区托育服务指导中心,魏娜,021-31220996,郑韶雨,上海市静安区曹家渡街道万航渡路858弄15号101室,不提供膳食,15000.0
上海静安翰哲托育有限公司,1062111001300000,营利性托育机构,全日制,静安区托育服务指导中心,史庆颖,56553690,张慧,上海市静安区临汾路街道上海市静安区临汾路33号,不自行加工膳食，但提供供餐服务,6000.0
上海静安九伴托育有限公司,1062100000800000,营利性托育机构,全日制,静安区托育服务指导中心,朱玮,15921616009,陈炎庆,上海市静安区共和新路街道延长中路628弄1、2、3号底层,自行加工膳食,10000.0
上海静安麦忒托育有限公司,1062100000500000,营利性托育机构,全日制,静安区托育服务指导中心,臧妍勋,021-31830089,上海麦忒教育科技有限公司,上海市静安区共和新路街道中山北路901号1楼,不提供膳食,15800.0
上海静安满儿托育有限公司,1062111001500000,营利性托育机构,全日制,静安区托育服务指导中心,王恺,66278255,满儿企业管理（上海）有限公司,上海市静安区大宁路街道寿阳路99弄协信星光广场南里1层s126,自行加工膳食,8600.0
上海静安曼彻斯托育有限公司,1062111000700000,营利性托育机构,全日制,静安区托育服务指导中心,章立,02166776006,胡浩丽，李燕，周甬涛,上海市静安区大宁路街道平型关路1037号,不自行加工膳食，但提供供餐服务,12000.0
上海静安纽英托育有限公司,1062111001200000,营利性托育机构,全日制,静安区托育服务指导中心,李佳佳,56331801,上海昀祚教育科技有限公司；李军；章欣,上海市静安区彭浦新村街道云欣路200弄6号101室,不自行加工膳食，但提供供餐服务,13800.0
上海静安杞初托育有限公司,1062111000900000,营利性托育机构,全日制,静安区托育服务指导中心,罗静,80317559,上海灵童教育科技有限公司,上海市静安区彭浦镇沪太支路566弄1号104、107-115室,不自行加工膳食，但提供供餐服务,6800.0
上海静安区格林新蕾托育园,1061100000300000,非营利性托育机构,全日制,静安区托育服务指导中心,黎艳玲,54030603*12,上海正格林金实业有限公司,上海市静安区曹家渡街道胶州路561号,自行加工膳食,12000.0
上海静安区嘉乐宝宝托育园,1061111002000000,非营利性托育机构,全日制,静安区托育服务指导中心,崔红,18621740380,陈火明  上海贤德教育科技有限公司,上海市静安区共和新路街道洛川中路1100弄63号,自行加工膳食,9800.0
